"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0007005","mitochondrion organization",129,5,0.79,"0.0011"
"GO:0042157","lipoprotein metabolic process",34,3,0.21,"0.0012"
"GO:0016043","cellular component organization",2288,25,14.08,"0.0013"
"GO:0048812","neuron projection morphogenesis",10,2,0.06,"0.0016"
"GO:0048858","cell projection morphogenesis",10,2,0.06,"0.0016"
"GO:0120039","plasma membrane bounded cell projection ...",10,2,0.06,"0.0016"
"GO:0061564","axon development",11,2,0.07,"0.0020"
"GO:0032990","cell part morphogenesis",13,2,0.08,"0.0028"
"GO:0017062","respiratory chain complex III assembly",15,2,0.09,"0.0037"
"GO:0034551","mitochondrial respiratory chain complex ...",15,2,0.09,"0.0037"
"GO:0006935","chemotaxis",52,3,0.32,"0.0040"
"GO:0042330","taxis",52,3,0.32,"0.0040"
"GO:0071840","cellular component organization or bioge...",2527,25,15.55,"0.0054"
"GO:0055085","transmembrane transport",880,12,5.42,"0.0065"
"GO:0048869","cellular developmental process",884,12,5.44,"0.0067"
"GO:0031154","culmination involved in sorocarp develop...",21,2,0.13,"0.0073"
"GO:0043933","protein-containing complex organization",897,12,5.52,"0.0076"
"GO:0120036","plasma membrane bounded cell projection ...",66,3,0.41,"0.0077"
"GO:0000902","cell morphogenesis",374,7,2.3,"0.0077"
"GO:0032989","cellular component morphogenesis",375,7,2.31,"0.0078"
