"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0030054","cell junction",719,11,4.59,"0.0053"
"GO:0009506","plasmodesma",688,10,4.4,"0.0112"
"GO:0055044","symplast",688,10,4.4,"0.0112"
"GO:0005911","cell-cell junction",702,10,4.48,"0.0128"
"GO:0070161","anchoring junction",702,10,4.48,"0.0128"
"GO:0005774","vacuolar membrane",485,7,3.1,"0.0341"
"GO:0042807","central vacuole",10,1,0.06,"0.0621"
"GO:0045335","phagocytic vesicle",10,1,0.06,"0.0621"
"GO:0016234","inclusion body",11,1,0.07,"0.0681"
"GO:0005826","actomyosin contractile ring",12,1,0.08,"0.0741"
"GO:0042641","actomyosin",12,1,0.08,"0.0741"
"GO:0070938","contractile ring",12,1,0.08,"0.0741"
"GO:0016459","myosin complex",13,1,0.08,"0.0800"
"GO:0005773","vacuole",836,9,5.34,"0.0823"
"GO:0000407","phagophore assembly site",15,1,0.1,"0.0917"
"GO:0098687","chromosomal region",85,2,0.54,"0.1024"
"GO:0000326","protein storage vacuole",17,1,0.11,"0.1033"
"GO:0005682","U5 snRNP",17,1,0.11,"0.1033"
"GO:0045202","synapse",17,1,0.11,"0.1033"
"GO:0005849","mRNA cleavage factor complex",19,1,0.12,"0.1147"
