"GO.ID","Term","Annotated","Significant","Expected","classicFisher","function_type","p.value","negLogP","semantic_x","semantic_y","cluster","Enrichment_Factor","Total_Gene_Count"
"GO:0018193","peptidyl-amino acid modification",339,2,0.11,"0.0037","BP",0.0037,2.43179827593301,-0.287830908090833,-0.167420076308657,"5",0.00589970501474926,339
"GO:0018279","protein N-linked glycosylation via aspar...",15,1,0,"0.0047","BP",0.0047,2.32790214206428,-0.31884373370059,0.285676719601506,"1",0.0666666666666667,15
"GO:0034969","histone arginine methylation",15,1,0,"0.0047","BP",0.0047,2.32790214206428,-0.369330294615403,-0.348196972216543,"5",0.0666666666666667,15
"GO:0018195","peptidyl-arginine modification",16,1,0.01,"0.0050","BP",0.005,2.30102999566398,-0.312260609867153,-0.228523432236806,"5",0.0625,16
"GO:0018216","peptidyl-arginine methylation",16,1,0.01,"0.0050","BP",0.005,2.30102999566398,-0.366894936322191,-0.343043414946357,"5",0.0625,16
"GO:0010030","positive regulation of seed germination",33,1,0.01,"0.0103","BP",0.0103,1.98716277529483,0.518066163134212,-0.131729543595806,"3",0.0303030303030303,33
"GO:0016043","cellular component organization",2288,3,0.72,"0.0136","BP",0.0136,1.86646109162978,0.115736081139832,0.239201184365309,"2",0.00131118881118881,2288
"GO:0006487","protein N-linked glycosylation",49,1,0.02,"0.0153","BP",0.0153,1.8153085691824,-0.31884373370059,0.285676719601506,"1",0.0204081632653061,49
"GO:0009846","pollen germination",58,1,0.02,"0.0180","BP",0.018,1.74472749489669,0.393786331818523,-0.0226102448646158,"4",0.0172413793103448,58
"GO:0071840","cellular component organization or bioge...",2527,3,0.79,"0.0183","BP",0.0183,1.73754891026957,0.115736081139832,0.239201184365309,"2",0.00118717847249703,2527
"GO:0010029","regulation of seed germination",72,1,0.02,"0.0224","BP",0.0224,1.64975198166584,0.506588041989275,-0.125159096679872,"3",0.0138888888888889,72
"GO:0006486","protein glycosylation",76,1,0.02,"0.0236","BP",0.0236,1.62708799702989,-0.314444267442173,0.275275487368405,"1",0.0131578947368421,76
"GO:0043413","macromolecule glycosylation",76,1,0.02,"0.0236","BP",0.0236,1.62708799702989,-0.277549294744096,0.19310533629304,"1",0.0131578947368421,76
"GO:1900140","regulation of seedling development",77,1,0.02,"0.0239","BP",0.0239,1.62160209905186,0.504896091136677,-0.124116895528783,"3",0.012987012987013,77
"GO:0009311","oligosaccharide metabolic process",80,1,0.03,"0.0248","BP",0.0248,1.60554831917378,-0.0687857981188714,0.0260806591006914,"2",0.0125,80
"GO:0009101","glycoprotein biosynthetic process",85,1,0.03,"0.0264","BP",0.0264,1.57839607313017,-0.242499167917445,0.188395484818008,"1",0.0117647058823529,85
"GO:0048582","positive regulation of post-embryonic de...",93,1,0.03,"0.0288","BP",0.0288,1.54060751224077,0.472371588575205,-0.103521320920732,"3",0.010752688172043,93
"GO:0009100","glycoprotein metabolic process",98,1,0.03,"0.0304","BP",0.0304,1.51712641639125,-0.259860497438635,0.14406475975788,"1",0.0102040816326531,98
"GO:0016571","histone methylation",103,1,0.03,"0.0319","BP",0.0319,1.49620931694282,-0.330527304407644,-0.276808472704929,"5",0.00970873786407767,103
"GO:0070085","glycosylation",104,1,0.03,"0.0322","BP",0.0322,1.49214412830417,-0.149385683299782,0.432168266700129,"1",0.00961538461538462,104
"GO:0006479","protein methylation",112,1,0.04,"0.0347","BP",0.0347,1.45967052520913,-0.327763374960318,-0.270062692064658,"5",0.00892857142857143,112
"GO:0008213","protein alkylation",112,1,0.04,"0.0347","BP",0.0347,1.45967052520913,-0.327763374960318,-0.270062692064658,"5",0.00892857142857143,112
"GO:0009860","pollen tube growth",116,1,0.04,"0.0359","BP",0.0359,1.44490555142168,0.41779083740936,0.100641752416053,"4",0.00862068965517241,116
"GO:0009932","cell tip growth",131,1,0.04,"0.0404","BP",0.0404,1.3936186348894,0.332453615998381,0.115511958761735,"4",0.00763358778625954,131
"GO:0009845","seed germination",150,1,0.05,"0.0462","BP",0.0462,1.33535802444387,0.480990826096961,-0.109544371554963,"3",0.00666666666666667,150
"GO:0048868","pollen tube development",158,1,0.05,"0.0486","BP",0.0486,1.31336373073771,0.414167321147786,-0.00420028746219298,"4",0.00632911392405063,158
"GO:0000987","cis-regulatory region sequence-specific ...",27,1,0.01,"0.0098","MF",0.0098,2.0087739243075,NA,NA,NA,0.037037037037037,27
"GO:0016859","cis-trans isomerase activity",39,1,0.01,"0.0141","MF",0.0141,1.85078088734462,NA,NA,NA,0.0256410256410256,39
"GO:0000976","transcription cis-regulatory region bind...",111,1,0.04,"0.0397","MF",0.0397,1.40120949323689,NA,NA,NA,0.00900900900900901,111
"GO:0031985","Golgi cisterna",17,1,0.01,"0.0053","CC",0.0053,2.27572413039921,NA,NA,NA,0.0588235294117647,17
"GO:0005795","Golgi stack",28,1,0.01,"0.0088","CC",0.0088,2.05551732784983,NA,NA,NA,0.0357142857142857,28
"GO:0000139","Golgi membrane",113,1,0.04,"0.0351","CC",0.0351,1.45469288353418,NA,NA,NA,0.00884955752212389,113
